id,publisher_id,title,category,origin,mrp,price,image_url,description,status,created_at,isbn,sku,top_category,subcategory,age_band,binding,no_of_pages,publisher_name,video_link,flipbook_link,opening_inventory,track_inventory,cover_url
7ac8531d-d66c-4a15-88da-f9384a6c2d83,null,My Creative world level-B,null,null,null,231,https://www.booksatdoorsteps.online/covers/938443815-4.My%20Creative%20world%20level-B.png,null,approved,2026-07-12 11:38:21.560713+00,938443815-4,MYCRWO,Kids Learning,Lkg; Nursery; Art and craft; Creative activities,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443815-4.My%20Creative%20world%20level-B.png
a6677917-e825-434e-998b-8702a4c5bb3b,null,My Creative world Level-A,null,null,null,231,https://www.booksatdoorsteps.online/covers/938443816-2.My%20Creative%20world%20Level-A.png,null,approved,2026-07-12 11:38:21.560713+00,938443816-2,MYCRW1,Kids Learning,Lkg; Nursery; Art and craft; Creative activities,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443816-2.My%20Creative%20world%20Level-A.png
c21753bb-8dd9-4fd0-bc26-699873216f4f,null,Enjoy Colouring 0,null,null,null,88,https://www.booksatdoorsteps.online/covers/938443817-0.Enjoy%20Colouring%200.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443817-0,ENCO0,Kids Learning,Lkg; Colouring,Foundation Stage (3-5),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443817-0.Enjoy%20Colouring%200.png.jpg
dafa76c3-05fd-4ae8-9fdd-ae48445641bc,null,Enjoy Colouring-1,null,null,null,88,https://www.booksatdoorsteps.online/covers/938443818-9.Enjoy%20Colouring-1.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443818-9,ENCO1,Kids Learning,Lkg; Colouring,Foundation Stage (3-5),Paperback,32,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443818-9.Enjoy%20Colouring-1.png.jpg
a03f222c-55ab-4a95-9a99-e8d1fed1c9b8,null,Colouring 4,null,null,null,116,https://www.booksatdoorsteps.online/covers/938443820-0.Colouring%204.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443820-0,CO4,Kids Learning,Lkg; Colouring,Infants KS1 (5-7),Paperback,64,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443820-0.Colouring%204.png.png
8f97954f-260b-4346-a0f0-e95c8a2170ab,null,PRIMARY POSTER PACK,null,null,null,920,https://www.booksatdoorsteps.online/covers/938443821-9.PRIMARY%20POSTER%20PACK.png,null,approved,2026-07-12 11:38:21.560713+00,938443821-9,PRPOPA,Kids Learning,Wall posters; Learning aid; Visual learning,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443821-9.PRIMARY%20POSTER%20PACK.png
ff693588-22eb-4482-914b-ebccee49a964,null,Celebrations,null,null,null,199,https://www.booksatdoorsteps.online/covers/938443877-4.CELEBRATIONS.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443877-4,CE,Kids Learning,Lkg; Nursery; Activities; Alphabet activities; Numbers activities; Art and craft; General knoledge,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443877-4.CELEBRATIONS.png.png
91bf46b8-8572-4870-948b-35cc658b44de,null,Maze Amaze,null,null,null,199,https://www.booksatdoorsteps.online/covers/938443829-4.Maze%20Amaze.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443829-4,MAAM,Kids Learning,Lkg; Nursery; Activities; Art and craft; General knowledge,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443829-4.Maze%20Amaze.png.png
a167c724-8971-495b-8a75-2a98953d9229,null,Numbers Tracing -1-10,null,null,null,100,https://www.booksatdoorsteps.online/covers/938443864-2.Numbers%20Tracing%20-1-10.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443864-2,NUTR11,Kids Learning,Lkg; Numbers Activity worksheets,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443864-2.Numbers%20Tracing%20-1-10.png.png
1807daf8-7d22-4fe3-b031-3dcf619cd66a,null,Alphabet Tracing Upper Case,null,null,null,124,https://www.booksatdoorsteps.online/covers/938443878-2.ALPHABET%20TRACING%20UPPER%20CASE.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443878-2,ALTRUP,Kids Learning,Lkg; Activities; Alphabet activities and writing,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443878-2.ALPHABET%20TRACING%20UPPER%20CASE.png.png
5942087c-cccb-40ca-be83-9abddff5c0b4,null,Enjoy Writing Numbers 1-20,null,null,null,199,https://www.booksatdoorsteps.online/covers/938443835-9.Enjoy%20Writing%20Numbers%201-20.png.jpg,null,approved,2026-07-12 11:38:21.560713+00,938443835-9,ENWRNU,Kids Learning,Lkg; Numbers Activity worksheets,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443835-9.Enjoy%20Writing%20Numbers%201-20.png.jpg
0993b20e-5a60-4613-9bbc-440986819a58,null,Get Set Go,null,null,null,199,https://www.booksatdoorsteps.online/covers/938443854-5.Get%20Set%20Go.png,null,approved,2026-07-12 11:38:21.560713+00,938443854-5,GESEGO,Kids Learning,Lkg; Nursery; Activities; Alphabet activities; Numbers activities; Art and craft; General knoledge,Foundation Stage (3-5),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443854-5.Get%20Set%20Go.png
1add93c1-bc01-4caa-b2e6-f7663bc3a076,null,Swar likhen workbook,null,null,null,176,https://www.booksatdoorsteps.online/covers/938443886-3.Swar%20likhen%20workbook.png,null,approved,2026-07-12 11:38:21.560713+00,938443886-3,SWLIWO,Kids Learning,Ukg; Activities; Hindi activities; Words and sentence formation in Hindi,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443886-3.Swar%20likhen%20workbook.png
9bb5895f-83ea-41a6-805f-90e1279baa05,null,Daily Expressions DIART LEVEL 1,null,null,null,151,https://www.booksatdoorsteps.online/covers/938443870-7..Daily%20Expressions%20DIART%20LEVEL%201.png.png,null,approved,2026-07-12 11:38:21.560713+00,938443870-7,DAEXD1,Kids Learning,Creative writing; Diary; Language development,Infants KS1 (5-7),Paperback,null,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/938443870-7..Daily%20Expressions%20DIART%20LEVEL%201.png.png
ab21bb0c-aa90-4b6b-bbd3-dbcfe9734df1,null,Aao Swar Padhen,null,null,null,46,https://www.booksatdoorsteps.online/covers/81-87282-84-3.Swar%20Padhen%20Likhen.png.png,null,approved,2026-07-12 11:38:21.560713+00,81-87282-84-3,ASWP,Kids Learning,Ukg; Activities; Hindi activities; Words and sentence formation in Hindi,Foundation Stage (3-5),Paperback,12,Deepshikha,null,null,400,TRUE,https://www.booksatdoorsteps.online/covers/81-87282-84-3.Swar%20Padhen%20Likhen.png.png
